Titulo;Marca;Modelo;Versao;Ano_Fab;Ano_Mod;Quilometragem;Cambio;Portas;Tipo_Carroceria;Cor;Preco;Cidade;Vendedor;Atributos;Descricao;Link
LAND ROVER RANGE ROVER EVOQUE 2.0 SE 4WD 16V GASOLINA 4P AUTOMÁTICO;LAND ROVER;RANGE ROVER EVOQUE;2.0 SE 4WD 16V GASOLINA 4P AUTOMÁTICO;2015;2016.0;58000.0;Automática;4;Utilitário esportivo;Branco;105900.0;Florianópolis;TRACAO VEICULOS;Aceita troca; Só na Tração Veículos você encontra! Impecável e extremamente nova !!    - Único dono!  - Central Multimidia!  - Cambio de 9 marchas!  - Tração integral sob demanda!  - Interna perfeita!  - Veiculo todo revisado na concessionaria, com manual e chave cópia!  - Pneus praticamente novos!  - Veículos Selecionados, com garantia!  - Aceitamos seu usado na troca, com avaliação justa!  - Financiamos com as melhores taxas do mercado!  - Ajudamos você com a venda do seu carro, conheça nosso modelo de consignação!    Obs: CAUTELAR APROVADA.    VEM CONFERIR!   ;https://www.webmotors.com.br/comprar/64008306
MG CYBERSTER 77 KW ELÉTRICO GT AWD;MG;CYBERSTER;77 KW ELÉTRICO GT AWD;2025;2026.0;0.0;Automática;2;Conversível;Vermelho;499800.0;Florianópolis;Barigui - MG Florianópolis;Aceita troca, Garantia de fábrica;UM AUTOMÓVEL ESCULPIDO PARA AS LUZES DA PASSARELA Precisão em todos os detalhes  O Cyberster é um tributo a quem desafia o convencional. Com linhas sofisticadas e silhueta aerodinâmica, cada detalhe foi projetado para combinar um desempenho excepcional com um estilo que não passa despercebido. Outros Opcionais: Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Kit Multimídia.;https://www.webmotors.com.br/comprar/63883068
BYD SONG PLUS 1.5 DM-I HÍBRIDO AUTOMÁTICO;BYD;SONG PLUS;1.5 DM-I HÍBRIDO AUTOMÁTICO;2023;2024.0;41100.0;Automática;4;Utilitário esportivo;Branco;175000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, Garantia de fábrica;-REVISADO -CAUTELAR APROVADA Mais opcionais: Completo, Teto Panorâmico, Controle Automático de Descida, Conexão USB, Controle de Estabilidade, Controle Som no Volante, Abertura Interna do Porta Malas, Direção Elétrica. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/64222754
MG CYBERSTER 77 KW ELÉTRICO GT AWD;MG;CYBERSTER;77 KW ELÉTRICO GT AWD;2025;2026.0;0.0;Automática;2;Conversível;Cinza;499800.0;Florianópolis;Barigui - MG Florianópolis;Aceita troca, Garantia de fábrica;Estilo e presença inconfundíveis Combinando a herança icônica MG com a força da inovação elétrica moderna, o Cyberster não é apenas um carro, é uma afirmação o super Esportivo Elétrico da MG Motor com 510 CV, de zero a 100 em 3.2 segundos, Com preço promocional de lançamento até 30/11  Outros Opcionais: Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Kit Multimídia.;https://www.webmotors.com.br/comprar/63883081
BMW X1 2.0 16V TURBO GASOLINA SDRIVE20I M SPORT STEPTRONIC;BMW;X1;2.0 16V TURBO GASOLINA SDRIVE20I M SPORT STEPTRONIC;2025;2025.0;0.0;Automática;4;Utilitário esportivo;Preto;383950.0;Florianópolis;BMW Top Car - Florianópolis;Aceita troca;[CBCFDFI];https://www.webmotors.com.br/comprar/59850855
VOLVO XC40 P6 RECHARGE ELECTRIC PLUS;VOLVO;XC40;P6 RECHARGE ELECTRIC PLUS;2022;2023.0;43000.0;Automática;4;Utilitário esportivo;Azul;189900.0;Florianópolis;Zeekr Metronorte;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária;HISTÓRICO  - PNEUS BONS  - ÚNICO DONO  - POLIDO E HIGIENIZADO  - MANUAL + CHAVE RESERVA  - LAUDO CAUTELAR APROVADO  - IPVA 25 PAGO  CARACTERÍSTICAS - VOLVO XC40 P6 PLUS - 6 Airbags - Tração Dianteira - 231cv - Bateria: 69 kWh - Câmbio: Automático  - Porta malas: 419 Litros - Comprimento.: 4,44m Larg.: 1,86m  Valor anunciado válido para compra à vista . Para negociações com veículo usado na troca, consulte condições e faça a avaliação do seu carro Outros Opcionais: Banco bi-partido, Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Farol de neblina, Kit Multimídia, Pára-choques na cor do veículo.;https://www.webmotors.com.br/comprar/65047615
LAND ROVER RANGE ROVER EVOQUE 2.0 P250 FLEX R-DYNAMIC SE AWD AUTOMÁTICO;LAND ROVER;RANGE ROVER EVOQUE;2.0 P250 FLEX R-DYNAMIC SE AWD AUTOMÁTICO;2019;2020.0;46000.0;Automática;4;Utilitário esportivo;Cinza;229900.0;Florianópolis;Zeekr Metronorte;Aceita troca, Único dono, IPVA pago, Licenciado;HISTÓRICO  - PNEUS BONS  - ÚNICO DONO  - POLIDO E HIGIENIZADO  - MANUAL + CHAVE RESERVA  - LAUDO CAUTELAR APROVADO  - IPVA 25 PAGO  CARACTERÍSTICAS - Evoque P250 R-Dynamic SE - 6 Airbags - Tração AWD - 250cv - Flex - Câmbio: Automático  - Porta malas: 472 Litros - Comprimento.: 4,37m Larg.: 1,90m  Valor anunciado válido para compra à vista . Para negociações com veículo usado na troca, consulte condições e faça a avaliação do seu carro Outros Opcionais: Banco bi-partido, Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Farol de neblina, Kit Multimídia, Pára-choques na cor do veículo.;https://www.webmotors.com.br/comprar/65048151
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO;VOLKSWAGEN;VIRTUS;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2021;2022.0;40268.0;Automática;4;Sedã;Prata;93900.0;Florianópolis;Particular;Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;?? RARIDADE NO MERCADO – ÚNICO DONO! ?? Se você procura procedência, cuidado e segurança, acaba de encontrar o veículo certo.  ? ÚNICO DONO ? TODAS AS REVISÕES REALIZADAS NA CONCESSIONÁRIA ? MANUTENÇÃO RIGOROSAMENTE EM DIA ? VEÍCULO IMPECÁVEL, SEM SURPRESAS ?? Estado de conservação acima da média ?? Procedência ?? Pronto para transferir e rodar ?? Quem entende de carro sabe: encontrar um veículo assim é cada vez mais raro.  Não é apenas um automóvel, é tranquilidade para quem compra.  ;https://www.webmotors.com.br/comprar/65247533
MITSUBISHI ASX 2.0 4X2 16V FLEX 4P AUTOMÁTICO;MITSUBISHI;ASX;2.0 4X2 16V FLEX 4P AUTOMÁTICO;2017;2018.0;73000.0;CVT;4;Utilitário esportivo;Cinza;86000.0;Florianópolis;Particular;Aceita troca, Todas as revisões feitas pela agenda do carro, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;- Revisões feitas na concessionária - Versão completa com ar digital, piloto automático e paddle shift - Central multimídia moderna com Apple CarPlay e Android Auto - Rodas de liga leve aro 18” + pneus Pirelli Scorpion em ótimo estado - Vidros e travas elétricas, câmera de ré e sensores de estacionamento - Bancos em couro muito bem conservados - Porta-malas amplo, ideal para viagens ou uso diário - Revisões em dia e documentação 100% ok;https://www.webmotors.com.br/comprar/62471922
AUDI Q5 2.0 55 TFSIE PHEV SPORTBACK PERFORMANCE BLACK QUATTRO S TRONIC;AUDI;Q5;2.0 55 TFSIE PHEV SPORTBACK PERFORMANCE BLACK QUATTRO S TRONIC;2024;2024.0;6000.0;Automática;4;Utilitário esportivo;Cinza;369000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária;Veículo revisado e com garantia de fábrica Mais opcionais: Completo, Direção Elétrica. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/65259197
FIAT TITANO 2.2 TURBO DIESEL RANCH 4X4 AT6;FIAT;TITANO;2.2 TURBO DIESEL RANCH 4X4 AT6;2024;2025.0;12000.0;Automática;4;Picape;Preto;183900.0;Florianópolis;INTERCONTINENTAL AUTOMOVEIS;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;VEICULO EXTREMAMENTE NOVO COM APENAS 12000KM BANCOS DE COURO CENTRAL MULTIMIDIA  TRACAO 4X4 FAROIS EM LED  Outros Opcionais: Assistente de Partida em Rampa, Banco bi-partido, Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Farol de neblina, Kit Multimídia, Pára-choques na cor do veículo, Porta-copos.;https://www.webmotors.com.br/comprar/64987107
